track,channel,type,note,velocity,time
1,0,note_on,56,52,57890
1,0,note_off,44,0,57920
1,0,note_on,44,53,58398
1,0,note_off,56,0,58428
1,0,note_on,56,52,58903
1,0,note_off,44,0,58933
1,0,note_off,74,0,59412
1,0,note_on,71,67,59413
1,0,note_on,44,55,59413
1,0,note_off,56,0,59443
1,0,note_on,56,52,59923
1,0,note_off,44,0,59953
1,0,note_on,44,53,60428
1,0,note_off,56,0,60458
1,0,note_on,56,52,60933
1,0,note_off,44,0,60963
1,0,note_off,71,0,61439
1,0,note_on,72,69,61444
1,0,note_on,45,57,61444
1,0,note_off,56,0,61470
1,0,note_on,57,52,61986
1,0,note_off,45,0,62016
1,0,note_off,72,0,62493
1,0,note_on,76,65,62494
1,0,note_on,45,53,62494
1,0,note_off,57,0,62524
1,0,note_on,57,52,62999
1,0,note_off,45,0,63029
1,0,note_off,76,0,63508
1,0,note_on,81,67,63509
1,0,note_on,45,55,63509
1,0,note_off,57,0,63539
1,0,note_on,57,52,64019
1,0,note_off,45,0,64049
1,0,note_on,45,53,64524
1,0,note_off,57,0,64554
1,0,note_on,57,52,65029
1,0,note_off,45,0,65059
1,0,note_off,81,0,65535
1,0,note_on,80,64,65540
1,0,note_on,44,57,65540
1,0,note_off,57,0,65566
1,0,note_on,56,52,66082
1,0,note_off,44,0,66112
1,0,note_on,44,53,66590
1,0,note_off,56,0,66620
1,0,note_on,56,52,67095
1,0,note_off,44,0,67125
1,0,note_on,44,55,67605
1,0,note_off,56,0,67635
1,0,note_on,56,52,68115
1,0,note_off,44,0,68145
1,0,note_on,44,53,68620
1,0,note_off,56,0,68650
1,0,note_on,56,52,69125
1,0,note_off,44,0,69155
1,0,note_off,80,0,69631
1,0,note_off,56,0,69662
